Date,Time,F_[Hz],UL1_[V],UL2_[V],UL12_[V],UNE_[V],THDL1_[%],THDL2_[%],THDNE_[%],H1_UL1_[%],H1_UL2_[%],H2_UL1_[%],H2_UL2_[%],H3_UL1_[%],H3_UL2_[%],H4_UL1_[%],H4_UL2_[%],H5_UL1_[%],H5_UL2_[%],H6_UL1_[%],H6_UL2_[%],H7_UL1_[%],H7_UL2_[%],H8_UL1_[%],H8_UL2_[%],H9_UL1_[%],H9_UL2_[%],H10_UL1_[%],H10_UL2_[%],H11_UL1_[%],H11_UL2_[%],H12_UL1_[%],H12_UL2_[%],H13_UL1_[%],H13_UL2_[%],H14_UL1_[%],H14_UL2_[%],H15_UL1_[%],H15_UL2_[%],H16_UL1_[%],H16_UL2_[%],H17_UL1_[%],H17_UL2_[%],H18_UL1_[%],H18_UL2_[%],H19_UL1_[%],H19_UL2_[%],H20_UL1_[%],H20_UL2_[%],H21_UL1_[%],H21_UL2_[%],H22_UL1_[%],H22_UL2_[%],H23_UL1_[%],H23_UL2_[%],H24_UL1_[%],H24_UL2_[%],H25_UL1_[%],H25_UL2_[%],H26_UL1_[%],H26_UL2_[%],H27_UL1_[%],H27_UL2_[%],H28_UL1_[%],H28_UL2_[%],H29_UL1_[%],H29_UL2_[%],H30_UL1_[%],H30_UL2_[%],H31_UL1_[%],H31_UL2_[%],H32_UL1_[%],H32_UL2_[%],H33_UL1_[%],H33_UL2_[%],H34_UL1_[%],H34_UL2_[%],H35_UL1_[%],H35_UL2_[%],H36_UL1_[%],H36_UL2_[%],H37_UL1_[%],H37_UL2_[%],H38_UL1_[%],H38_UL2_[%],H39_UL1_[%],H39_UL2_[%],H40_UL1_[%],H40_UL2_[%],H41_UL1_[%],H41_UL2_[%],H42_UL1_[%],H42_UL2_[%],H43_UL1_[%],H43_UL2_[%],H44_UL1_[%],H44_UL2_[%],H45_UL1_[%],H45_UL2_[%],H46_UL1_[%],H46_UL2_[%],H47_UL1_[%],H47_UL2_[%],H48_UL1_[%],H48_UL2_[%],H49_UL1_[%],H49_UL2_[%],H50_UL1_[%],H50_UL2_[%],Pst_UL1,Pst_UL2,UU_(Volt)_[%],IL1_[A],IL2_[A],THD_I1_[%],THD_I2_[%],THD_IN_[%],P_L1_[W],P_L1_[W]_abs,P_L2_[W],P_L2_[W]_abs,P_total_[W],P_total_[W]_abs,S_L1_[VA],S_L2_[VA],S_total_[VA],PF_L1,PF_L1_abs,PF_L2,PF_L2_abs,PF_total,PF_total_abs,QFL1,QFL2,QFtotal,E_L1_[Wh],E_L2_[Wh],E_L3_[Wh],E_total_[Wh]
2020-05-20 00:00:00,12:20:00.000,59.998,117.273,117.086,234.35899999999998,0.006,2.875,2.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0.224,100.04,69.453,75.318,7.483,6.073,23.273,7422.106,7422.106,7973.961,7973.961,15396.067,15396.067,8144.892,8818.603,17014.49,0.911,0.911,0.904,0.904,0.905,0.905,0.412,0.427,0.426,1237.0176666666666,1328.9935,,2566.0111666666667
2020-05-20 00:00:00,12:30:00.000,59.995,117.017,117.052,234.06900000000002,0.006,2.893,2.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.305,100.089,76.302,71.995,7.185,6.063,15.453,8115.692,8115.692,7394.479,7394.479,15510.172,15510.172,8928.646,8427.146,17495.871,0.909,0.909,0.877,0.877,0.887,0.887,0.417,0.48,0.463,1352.6153333333332,1232.4131666666667,,2585.0285
2020-05-20 00:00:00,12:40:00.000,60,117.25,117.005,234.255,0.006,2.998,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121,0.224,100.01,71.231,77.045,8.834,5.944,32.549,7518.708,7518.708,7969.249,7969.249,15487.957,15487.957,8351.852,9014.644,17455.316,0.9,0.9,0.884,0.884,0.887,0.887,0.435,0.467,0.461,1253.118,1328.2081666666666,,2581.3261666666667
2020-05-20 00:00:00,12:50:00.000,59.999,117.035,117.067,234.10199999999998,0.006,2.936,2.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0.195,100.294,88.544,75.066,6.558,5.896,9.372,9721.338,9721.338,7635.788,7635.788,17357.125,17357.125,10362.738,8787.761,19661.189,0.938,0.938,0.869,0.869,0.883,0.883,0.346,0.495,0.47,1620.223,1272.6313333333333,,2892.854333333333
2020-05-20 00:00:00,13:00:00.000,59.996,117.382,117.081,234.46300000000002,0.006,2.964,2.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,0.203,100.085,62.826,73.289,9.135,6.441,16.723,6440.51,6440.51,7512.985,7512.985,13953.495,13953.495,7374.673,8580.789,16132.222,0.873,0.873,0.876,0.876,0.865,0.865,0.487,0.483,0.502,1073.4183333333333,1252.1641666666665,,2325.5824999999995
2020-05-20 00:00:00,13:10:00.000,59.999,117.189,117.056,234.245,0.006,2.986,2.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.207,99.946,68.454,73.458,9.047,6.918,17.948,7062.692,7062.692,7610.817,7610.817,14673.509,14673.509,8022.087,8598.718,16722.475,0.88,0.88,0.885,0.885,0.877,0.877,0.474,0.465,0.48,1177.1153333333332,1268.4695,,2445.5848333333333
2020-05-20 00:00:00,13:20:00.000,59.996,117.066,117.163,234.22899999999998,0.006,2.977,2.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.203,100.039,73.549,68.962,8.158,7.394,15.037,7600.233,7600.233,7103.957,7103.957,14704.189,14704.189,8610.099,8079.827,16768.783,0.883,0.883,0.879,0.879,0.877,0.877,0.47,0.476,0.481,1266.7055,1183.9928333333332,,2450.6983333333333
2020-05-20 00:00:00,13:30:00.000,59.998,117.267,117.022,234.289,0.006,3.03,2.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0.287,100.069,62.762,71.063,9.768,7.2,20.576,6468.885,6468.885,7325.796,7325.796,13794.681,13794.681,7359.91,8315.963,15777.317,0.879,0.879,0.881,0.881,0.874,0.874,0.477,0.473,0.485,1078.1475,1220.966,,2299.1135
2020-05-20 00:00:00,13:40:00.000,60,117.441,117.11,234.551,0.006,3.006,2.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0.221,99.928,56.831,68.173,10.015,7.848,12.552,5927.272,5927.272,6966.277,6966.277,12893.549,12893.549,6674.275,7983.817,14858.251,0.888,0.888,0.873,0.873,0.868,0.868,0.46,0.489,0.497,987.8786666666666,1161.0461666666665,,2148.924833333333
2020-05-20 00:00:00,13:50:00.000,60.002,117.192,116.736,233.928,0.006,2.972,2.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0.231,99.808,56.56,75.655,9.291,6.459,8.416,5759.726,5759.726,7829.24,7829.24,13588.967,13588.967,6628.36,8831.686,15958.113,0.869,0.869,0.886,0.886,0.852,0.852,0.495,0.463,0.524,959.9543333333332,1304.8733333333332,,2264.8276666666666
