Date,Time,F_[Hz],UL1_[V],UL2_[V],UL12_[V],UNE_[V],THDL1_[%],THDL2_[%],THDNE_[%],H1_UL1_[%],H1_UL2_[%],H2_UL1_[%],H2_UL2_[%],H3_UL1_[%],H3_UL2_[%],H4_UL1_[%],H4_UL2_[%],H5_UL1_[%],H5_UL2_[%],H6_UL1_[%],H6_UL2_[%],H7_UL1_[%],H7_UL2_[%],H8_UL1_[%],H8_UL2_[%],H9_UL1_[%],H9_UL2_[%],H10_UL1_[%],H10_UL2_[%],H11_UL1_[%],H11_UL2_[%],H12_UL1_[%],H12_UL2_[%],H13_UL1_[%],H13_UL2_[%],H14_UL1_[%],H14_UL2_[%],H15_UL1_[%],H15_UL2_[%],H16_UL1_[%],H16_UL2_[%],H17_UL1_[%],H17_UL2_[%],H18_UL1_[%],H18_UL2_[%],H19_UL1_[%],H19_UL2_[%],H20_UL1_[%],H20_UL2_[%],H21_UL1_[%],H21_UL2_[%],H22_UL1_[%],H22_UL2_[%],H23_UL1_[%],H23_UL2_[%],H24_UL1_[%],H24_UL2_[%],H25_UL1_[%],H25_UL2_[%],H26_UL1_[%],H26_UL2_[%],H27_UL1_[%],H27_UL2_[%],H28_UL1_[%],H28_UL2_[%],H29_UL1_[%],H29_UL2_[%],H30_UL1_[%],H30_UL2_[%],H31_UL1_[%],H31_UL2_[%],H32_UL1_[%],H32_UL2_[%],H33_UL1_[%],H33_UL2_[%],H34_UL1_[%],H34_UL2_[%],H35_UL1_[%],H35_UL2_[%],H36_UL1_[%],H36_UL2_[%],H37_UL1_[%],H37_UL2_[%],H38_UL1_[%],H38_UL2_[%],H39_UL1_[%],H39_UL2_[%],H40_UL1_[%],H40_UL2_[%],H41_UL1_[%],H41_UL2_[%],H42_UL1_[%],H42_UL2_[%],H43_UL1_[%],H43_UL2_[%],H44_UL1_[%],H44_UL2_[%],H45_UL1_[%],H45_UL2_[%],H46_UL1_[%],H46_UL2_[%],H47_UL1_[%],H47_UL2_[%],H48_UL1_[%],H48_UL2_[%],H49_UL1_[%],H49_UL2_[%],H50_UL1_[%],H50_UL2_[%],Pst_UL1,Pst_UL2,UU_(Volt)_[%],IL1_[A],IL2_[A],THD_I1_[%],THD_I2_[%],THD_IN_[%],P_L1_[W],P_L1_[W]_abs,P_L2_[W],P_L2_[W]_abs,P_total_[W],P_total_[W]_abs,S_L1_[VA],S_L2_[VA],S_total_[VA],PF_L1,PF_L1_abs,PF_L2,PF_L2_abs,PF_total,PF_total_abs,QFL1,QFL2,QFtotal,E_L1_[Wh],E_L2_[Wh],E_L3_[Wh],E_total_[Wh]
2020-05-20 00:00:00,12:30:00.000,59.996,117.67,117.725,235.39499999999998,0.02,2.292,2.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0.123,99.907,69.791,48.717,11.509,7.235,20.239,7611.478,7611.478,5174.683,5174.683,12786.161,12786.161,8212.237,5735.255,14525.031,0.927,0.927,0.902,0.902,0.88,0.88,0.375,0.431,0.474,1268.5796666666665,862.4471666666666,,2131.0268333333333
2020-05-20 00:00:00,12:40:00.000,60.001,117.59,117.677,235.267,0.02,2.281,2.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,0.147,99.949,69.196,48.406,11.703,7.797,20.551,7320.047,7320.047,5155.497,5155.497,12475.544,12475.544,8136.821,5696.316,14364.725,0.9,0.9,0.905,0.905,0.868,0.868,0.437,0.425,0.496,1220.007833333333,859.2495,,2079.257333333333
2020-05-20 00:00:00,12:50:00.000,59.999,117.449,117.55,234.999,0.021,2.284,2.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0.156,99.971,73.215,55.672,11.493,8.273,22.564,7861.185,7861.185,6013.479,6013.479,13874.664,13874.664,8599.021,6544.233,15532.731,0.914,0.914,0.919,0.919,0.893,0.893,0.405,0.394,0.45,1310.1975,1002.2465,,2312.444
2020-05-20 00:00:00,13:00:00.000,59.997,117.646,117.744,235.39,0.021,2.297,2.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,0.146,99.981,72.185,59.543,12.072,8.294,31.119,7742.964,7742.964,6448.761,6448.761,14191.725,14191.725,8492.26,7010.813,15715.169,0.912,0.912,0.92,0.92,0.903,0.903,0.411,0.392,0.43,1290.494,1074.7935,,2365.2875
2020-05-20 00:00:00,13:10:00.000,60,117.541,117.646,235.187,0.021,2.256,2.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0.169,99.985,71.618,57.265,11.651,8.194,27.453,7618.938,7618.938,6057.399,6057.399,13676.338,13676.338,8418.041,6736.957,15413.149,0.905,0.905,0.899,0.899,0.887,0.887,0.425,0.438,0.461,1269.8229999999999,1009.5665,,2279.3894999999998
2020-05-20 00:00:00,13:20:00.000,59.997,117.574,117.673,235.247,0.021,2.257,2.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.168,99.997,77.061,64.548,10.443,8.878,22.227,8444.339,8444.339,7006.383,7006.383,15450.722,15450.722,9060.325,7595.513,16863.5,0.932,0.932,0.922,0.922,0.916,0.916,0.362,0.386,0.401,1407.3898333333332,1167.7305,,2575.1203333333333
2020-05-20 00:00:00,13:30:00.000,59.999,117.765,117.833,235.598,0.022,2.247,2.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.291,99.996,69.435,67.209,10.287,8.349,40.955,7647.311,7647.311,7330.464,7330.464,14977.775,14977.775,8177.021,7919.485,16130.521,0.935,0.935,0.926,0.926,0.929,0.929,0.354,0.378,0.371,1274.5518333333332,1221.744,,2496.295833333333
2020-05-20 00:00:00,13:40:00.000,60.001,117.822,117.923,235.745,0.022,2.268,2.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0.14,99.989,68.566,55.368,10.741,8.095,21.396,7335.998,7335.998,5780.211,5780.211,13116.209,13116.209,8078.552,6529.1,14852.165,0.908,0.908,0.885,0.885,0.883,0.883,0.419,0.465,0.469,1222.6663333333331,963.3685,,2186.034833333333
2020-05-20 00:00:00,13:50:00.000,60.003,117.883,117.96,235.843,0.022,2.309,2.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.14,99.973,57.449,49.086,13.646,7.901,37.819,5922.235,5922.235,5102.986,5102.986,11025.221,11025.221,6772.237,5790.197,12704.96,0.874,0.874,0.881,0.881,0.868,0.868,0.485,0.473,0.497,987.0391666666666,850.4976666666666,,1837.536833333333
2020-05-20 00:00:00,14:00:00.000,60,117.742,117.83,235.572,0.022,2.249,2.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0.15,99.985,69.108,58.795,10.518,7.179,28.682,7427.638,7427.638,6441.746,6441.746,13869.384,13869.384,8136.912,6927.82,15228.112,0.913,0.913,0.93,0.93,0.911,0.911,0.408,0.368,0.413,1237.9396666666667,1073.6243333333332,,2311.564
