Dato,Potencia
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,14483.5557
560,224352.6094
561,637898.3125
562,985685
563,1248047.25
564,1415735.25
565,1517327.375
566,1560959.375
567,1493930.875
568,1325595.125
569,1037478.625
570,578357.6875
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,39719.6641
585,298376.8125
586,164760.1719
587,383205.3438
588,972911.5
589,1191175.375
590,1210814.875
591,1697996.125
592,1447733.75
593,877719.0625
594,143799.1719
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,13136.248
608,143488.25
609,425567.8125
610,934668.6875
611,1083598
612,879584.5625
613,1039732.75
614,1038540.938
615,1228278.125
616,799031.125
617,533015.5625
618,231089.1563
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,21790.1094
632,216761.0625
633,596598.125
634,613076.75
635,633752.75
636,658755.6875
637,963998.5625
638,291743.9063
639,95425.6484
640,109157.8203
641,234638.7969
642,11529.8438
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,14276.2783
656,225155.8125
657,632094.5
658,1012216.625
659,1285538.625
660,1464005.125
661,1556088.375
662,1554222.875
663,1471881.625
664,1274578.875
665,958738.875
666,511588.2188
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,12073.9482
680,186032.0781
681,494954.1563
682,662408.9375
683,862820.9375
684,1043437.875
685,1102097.625
686,1190398
687,1123473.125
688,769779
689,881994.125
690,539052.5625
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,11063.4678
704,208521.75
705,506250.8125
706,797295.125
707,984156.3125
708,1153917.125
709,1251752.375
710,1243642.625
711,1125235
712,963635.8125
713,591364.375
714,262802.6875
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,22256.4844
728,253760.1875
729,717959.4375
730,843103.625
731,1184775.625
732,1371481.375
733,1363578.875
734,765011.5625
735,777940.5625
736,407094.1563
737,188959.875
738,50005.8359
739,0
740,0
741,0
742,0
743,0
744,0
