Local Time,kW sd del
2019-05-01 00:00:00,1627.8301086425781
2019-05-01 01:00:00,1452.8810729980469
2019-05-01 02:00:00,1282.6134948730469
2019-05-01 03:00:00,1168.7854309082031
2019-05-01 04:00:00,1093.3384399414062
2019-05-01 05:00:00,1012.1875915527344
2019-05-01 06:00:00,921.3081359863281
2019-05-01 07:00:00,863.63818359375
2019-05-01 08:00:00,940.0933990478516
2019-05-01 09:00:00,1163.0073852539062
2019-05-01 10:00:00,1331.7781372070312
2019-05-01 11:00:00,1489.7337646484375
2019-05-01 12:00:00,1606.8386535644531
2019-05-01 13:00:00,1735.2271423339844
2019-05-01 14:00:00,1756.9273986816406
2019-05-01 15:00:00,1826.021484375
2019-05-01 16:00:00,1797.7746887207031
2019-05-01 17:00:00,1684.3236083984375
2019-05-01 18:00:00,1625.87890625
2019-05-01 19:00:00,1677.5735778808594
2019-05-01 20:00:00,1717.1157531738281
2019-05-01 21:00:00,1826.4336242675781
2019-05-01 22:00:00,1867.4333801269531
2019-05-01 23:00:00,1800.2270812988281
2019-05-02 00:00:00,1604.5357360839844
2019-05-02 01:00:00,1391.0283508300781
2019-05-02 02:00:00,1257.6001586914062
2019-05-02 03:00:00,1146.2484741210938
2019-05-02 04:00:00,1040.2098388671875
2019-05-02 05:00:00,983.1136779785156
2019-05-02 06:00:00,917.0855102539062
2019-05-02 07:00:00,779.3455505371094
2019-05-02 08:00:00,745.7837219238281
2019-05-02 09:00:00,789.3362121582031
2019-05-02 10:00:00,875.9266815185547
2019-05-02 11:00:00,973.3526000976562
2019-05-02 12:00:00,1075.0870056152344
2019-05-02 13:00:00,1142.7756958007812
2019-05-02 14:00:00,1235.32666015625
2019-05-02 15:00:00,1400.00390625
2019-05-02 16:00:00,1392.9316101074219
2019-05-02 17:00:00,1286.6062316894531
2019-05-02 18:00:00,1299.0368347167969
2019-05-02 19:00:00,1459.1376037597656
2019-05-02 20:00:00,1514.4022827148438
2019-05-02 21:00:00,1579.4681091308594
2019-05-02 22:00:00,1593.3268737792969
2019-05-02 23:00:00,1536.8177795410156
2019-05-03 00:00:00,1429.6976623535156
2019-05-03 01:00:00,1309.9241638183594
2019-05-03 02:00:00,1203.1520385742188
2019-05-03 03:00:00,1111.9653930664062
2019-05-03 04:00:00,1036.6785736083984
2019-05-03 05:00:00,961.1783447265625
2019-05-03 06:00:00,863.3415985107422
2019-05-03 07:00:00,792.7705535888672
2019-05-03 08:00:00,841.6119689941406
2019-05-03 09:00:00,1037.825210571289
2019-05-03 10:00:00,1226.9736633300781
2019-05-03 11:00:00,1340.9304809570312
