date,type,day
9/3/17,0,Sunday
9/4/17,1,Monday
9/5/17,1,Tuesday
9/6/17,1,Wednesday
9/7/17,1,Thursday
9/8/17,1,Friday
9/9/17,0,Saturday
9/10/17,0,Sunday
9/11/17,1,Monday
9/12/17,1,Tuesday
9/13/17,1,Wednesday
9/14/17,1,Thursday
9/15/17,1,Friday
9/16/17,0,Saturday
9/17/17,0,Sunday
9/18/17,1,Monday
9/19/17,1,Tuesday
9/20/17,1,Wednesday
9/21/17,1,Thursday
9/22/17,1,Friday
9/23/17,0,Saturday
9/24/17,0,Sunday
9/25/17,1,Monday
9/26/17,1,Tuesday
9/27/17,1,Wednesday
9/28/17,1,Thursday
9/29/17,1,Friday
9/30/17,0,Saturday
10/1/17,0,Sunday
10/2/17,1,Monday
10/3/17,1,Tuesday
10/4/17,1,Wednesday
10/5/17,1,Thursday
10/6/17,1,Friday
10/7/17,0,Saturday
10/8/17,0,Sunday
10/9/17,0,Monday
10/10/17,1,Tuesday
10/11/17,1,Wednesday
10/12/17,1,Thursday
10/13/17,1,Friday
10/14/17,0,Saturday
10/15/17,0,Sunday
10/16/17,1,Monday
10/17/17,1,Tuesday
10/18/17,1,Wednesday
10/19/17,1,Thursday
10/20/17,1,Friday
10/21/17,0,Saturday
10/22/17,0,Sunday
10/23/17,1,Monday
10/24/17,1,Tuesday
10/25/17,1,Wednesday
10/26/17,1,Thursday
10/27/17,1,Friday
10/28/17,0,Saturday
10/29/17,0,Sunday
10/30/17,1,Monday
10/31/17,1,Tuesday
11/1/17,1,Wednesday
11/2/17,0,Thursday
11/3/17,0,Friday
11/4/17,0,Saturday
11/5/17,0,Sunday
11/6/17,1,Monday
11/7/17,1,Tuesday
11/8/17,1,Wednesday
11/9/17,1,Thursday
11/10/17,1,Friday
11/11/17,0,Saturday
11/12/17,0,Sunday
11/13/17,1,Monday
11/14/17,1,Tuesday
11/15/17,1,Wednesday
11/16/17,1,Thursday
11/17/17,1,Friday
11/18/17,0,Saturday
11/19/17,0,Sunday
11/20/17,1,Monday
11/21/17,1,Tuesday
11/22/17,1,Wednesday
11/23/17,1,Thursday
11/24/17,1,Friday
11/25/17,0,Saturday
11/26/17,0,Sunday
11/27/17,1,Monday
11/28/17,1,Tuesday
11/29/17,1,Wednesday
11/30/17,1,Thursday
12/1/17,1,Friday
12/2/17,0,Saturday
12/3/17,0,Sunday
12/4/17,1,Monday
12/5/17,1,Tuesday
12/6/17,1,Wednesday
12/7/17,1,Thursday
12/8/17,1,Friday
12/9/17,0,Saturday
12/10/17,0,Sunday
12/11/17,1,Monday
12/12/17,1,Tuesday
12/13/17,1,Wednesday
12/14/17,1,Thursday
12/15/17,1,Friday
12/16/17,0,Saturday
12/17/17,0,Sunday
12/18/17,1,Monday
12/19/17,1,Tuesday
12/20/17,1,Wednesday
12/21/17,1,Thursday
12/22/17,1,Friday
12/23/17,0,Saturday
12/24/17,0,Sunday
12/25/17,0,Monday
12/26/17,1,Tuesday
12/27/17,1,Wednesday
12/28/17,1,Thursday
12/29/17,1,Friday
12/30/17,0,Saturday
12/31/17,0,Sunday
