date,type,day
9/3/19,1,Tuesday
9/4/19,1,Wednesday
9/5/19,1,Thursday
9/6/19,1,Friday
9/7/19,0,Saturday
9/8/19,0,Sunday
9/9/19,1,Monday
9/10/19,1,Tuesday
9/11/19,1,Wednesday
9/12/19,1,Thursday
9/13/19,1,Friday
9/14/19,0,Saturday
9/15/19,0,Sunday
9/16/19,1,Monday
9/17/19,1,Tuesday
9/18/19,1,Wednesday
9/19/19,1,Thursday
9/20/19,1,Friday
9/21/19,0,Saturday
9/22/19,0,Sunday
9/23/19,1,Monday
9/24/19,1,Tuesday
9/25/19,1,Wednesday
9/26/19,1,Thursday
9/27/19,1,Friday
9/28/19,0,Saturday
9/29/19,0,Sunday
9/30/19,1,Monday
10/1/19,1,Tuesday
10/2/19,1,Wednesday
10/3/19,1,Thursday
10/4/19,1,Friday
10/5/19,0,Saturday
10/6/19,0,Sunday
10/7/19,1,Monday
10/8/19,1,Tuesday
10/9/19,1,Wednesday
10/10/19,1,Thursday
10/11/19,0,Friday
10/12/19,0,Saturday
10/13/19,0,Sunday
10/14/19,1,Monday
10/15/19,1,Tuesday
10/16/19,1,Wednesday
10/17/19,1,Thursday
10/18/19,1,Friday
10/19/19,0,Saturday
10/20/19,0,Sunday
10/21/19,1,Monday
10/22/19,1,Tuesday
10/23/19,1,Wednesday
10/24/19,1,Thursday
10/25/19,1,Friday
10/26/19,0,Saturday
10/27/19,0,Sunday
10/28/19,1,Monday
10/29/19,1,Tuesday
10/30/19,1,Wednesday
10/31/19,1,Thursday
11/1/19,0,Friday
11/2/19,0,Saturday
11/3/19,0,Sunday
11/4/19,0,Monday
11/5/19,1,Tuesday
11/6/19,1,Wednesday
11/7/19,1,Thursday
11/8/19,1,Friday
11/9/19,0,Saturday
11/10/19,0,Sunday
11/11/19,1,Monday
11/12/19,1,Tuesday
11/13/19,1,Wednesday
11/14/19,1,Thursday
11/15/19,1,Friday
11/16/19,0,Saturday
11/17/19,0,Sunday
11/18/19,1,Monday
11/19/19,1,Tuesday
11/20/19,1,Wednesday
11/21/19,1,Thursday
11/22/19,1,Friday
11/23/19,0,Saturday
11/24/19,0,Sunday
11/25/19,1,Monday
11/26/19,1,Tuesday
11/27/19,1,Wednesday
11/28/19,1,Thursday
11/29/19,1,Friday
11/30/19,0,Saturday
12/1/19,0,Sunday
12/2/19,1,Monday
12/3/19,1,Tuesday
12/4/19,1,Wednesday
12/5/19,1,Thursday
12/6/19,1,Friday
12/7/19,0,Saturday
12/8/19,0,Sunday
12/9/19,1,Monday
12/10/19,1,Tuesday
12/11/19,1,Wednesday
12/12/19,1,Thursday
12/13/19,1,Friday
12/14/19,0,Saturday
12/15/19,0,Sunday
12/16/19,1,Monday
12/17/19,1,Tuesday
12/18/19,1,Wednesday
12/19/19,1,Thursday
12/20/19,1,Friday
12/21/19,0,Saturday
12/22/19,0,Sunday
12/23/19,1,Monday
12/24/19,1,Tuesday
12/25/19,0,Wednesday
12/26/19,1,Thursday
12/27/19,1,Friday
12/28/19,0,Saturday
12/29/19,0,Sunday
12/30/19,0,Monday
12/31/19,0,Tuesday
